ICB Sub location,GP_ODS_CODE
16C,A81001
16C,A81002
16C,A81004
16C,A81005
16C,A81006
16C,A81007
16C,A81009
16C,A81011
16C,A81012
16C,A81013
16C,A81014
16C,A81016
16C,A81017
16C,A81018
16C,A81019
16C,A81020
16C,A81021
16C,A81022
16C,A81023
16C,A81025
16C,A81026
16C,A81027
16C,A81029
16C,A81030
16C,A81031
16C,A81032
16C,A81034
16C,A81035
16C,A81036
16C,A81037
16C,A81038
16C,A81039
16C,A81040
16C,A81041
16C,A81042
16C,A81044
16C,A81045
16C,A81046
16C,A81048
16C,A81049
16C,A81051
16C,A81052
16C,A81053
16C,A81054
16C,A81056
16C,A81057
16C,A81058
16C,A81060
16C,A81063
16C,A81064
16C,A81065
16C,A81066
16C,A81067
16C,A81070
16C,A81602
16C,A81608
16C,A81610
16C,A81611
16C,A81612
16C,A81618
16C,A81621
16C,A81622
16C,A81629
16C,A81631
01K,A82003
01H,A82004
01K,A82005
01H,A82006
01K,A82007
01K,A82008
01K,A82009
01K,A82010
01H,A82012
01H,A82013
01H,A82014
01H,A82015
01H,A82016
01H,A82018
01H,A82020
01H,A82021
01H,A82022
01H,A82023
01H,A82024
01K,A82025
01K,A82026
01K,A82027
01H,A82028
01H,A82029
01K,A82030
01H,A82031
01H,A82032
01K,A82033
01H,A82035
01H,A82036
01H,A82037
01H,A82038
01K,A82039
01H,A82041
01H,A82044
01H,A82045
01K,A82046
01H,A82047
01K,A82053
01H,A82055
01K,A82062
01H,A82064
01K,A82068
01K,A82070
01K,A82071
01K,A82072
01H,A82075
01K,A82608
01K,A82613
01H,A82617
01H,A82620
01K,A82629
01H,A82631
01H,A82646
01K,A82647
01K,A82650
01K,A82651
01H,A82654
84H,A83001
84H,A83003
16C,A83005
16C,A83006
84H,A83007
84H,A83008
84H,A83009
16C,A83010
84H,A83011
84H,A83012
16C,A83013
84H,A83014
84H,A83015
84H,A83016
84H,A83018
84H,A83020
84H,A83021
84H,A83022
84H,A83023
84H,A83024
84H,A83025
84H,A83026
84H,A83027
84H,A83028
84H,A83029
84H,A83030
16C,A83031
84H,A83032
84H,A83033
16C,A83034
