ICB Sub location,GP_ODS_CODE,GP_NAME,GP_GPAD_SYSTEMS,GP_SYSTEM
16C,A81001,THE DENSHAM SURGERY,TPP,TPP
16C,A81002,QUEENS PARK MEDICAL CENTRE,TPP,TPP
16C,A81004,ACKLAM MEDICAL CENTRE,TPP,TPP
16C,A81005,SPRINGWOOD SURGERY,TPP,TPP
16C,A81006,TENNANT STREET MEDICAL PRACTICE,TPP,TPP
16C,A81007,BANKHOUSE SURGERY,TPP,TPP
16C,A81009,VILLAGE MEDICAL CENTRE,TPP,TPP
16C,A81011,CHADWICK PRACTICE,TPP,TPP
16C,A81012,WESTBOURNE MEDICAL CENTRE,TPP,TPP
16C,A81013,BROTTON SURGERY,TPP,TPP
16C,A81014,QUEENSTREE PRACTICE,TPP,TPP
16C,A81016,PARK SURGERY,TPP,TPP
16C,A81017,WOODBRIDGE PRACTICE,TPP,TPP
16C,A81018,BENTLEY MEDICAL PRACTICE,TPP,TPP
16C,A81019,CROSSFELL HEALTH CENTRE,TPP,TPP
16C,A81020,MARTONSIDE MEDICAL CENTRE,TPP,TPP
16C,A81021,NORMANBY MEDICAL CENTRE,TPP,TPP
16C,A81022,HILLSIDE PRACTICE,TPP,TPP
16C,A81023,THE ENDEAVOUR PRACTICE,TPP,TPP
16C,A81025,THE DOVECOT SURGERY,TPP,TPP
16C,A81026,LINTHORPE SURGERY,TPP,TPP
16C,A81027,YARM MEDICAL PRACTICE,TPP,TPP
16C,A81029,PROSPECT SURGERY,TPP,TPP
16C,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,TPP,TPP
16C,A81031,HAVELOCK GRANGE PRACTICE,TPP,TPP
16C,A81032,THE GARTH,TPP,TPP
16C,A81034,THORNABY & BARWICK MEDICAL GROUP,TPP,TPP
16C,A81035,NEWLANDS MEDICAL CENTRE,EMIS,EMIS
16C,A81036,NORTON MEDICAL CENTRE,TPP,TPP
16C,A81037,THE ERIMUS PRACTICE,TPP,TPP
16C,A81038,HIRSEL MEDICAL CENTRE,TPP,TPP
16C,A81039,EAGLESCLIFFE MEDICAL PRACTICE,TPP,TPP
16C,A81040,MARSH HOUSE MEDICAL PRACTICE,TPP,TPP
16C,A81041,HART MEDICAL PRACTICE,TPP,TPP
16C,A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,TPP,TPP
16C,A81044,MCKENZIE HOUSE SURGERY,TPP,TPP
16C,A81045,THE COATHAM ROAD SURGERY,TPP,TPP
16C,A81046,WOODLANDS FAMILY MEDICAL CENTRE,TPP,TPP
16C,A81048,ZETLAND MEDICAL PRACTICE,TPP,TPP
16C,A81049,KINGS MEDICAL CENTRE,TPP,TPP
16C,A81051,CAMBRIDGE MEDICAL GROUP,TPP,TPP
16C,A81052,THE GREEN HOUSE SURGERY,TPP,TPP
16C,A81053,WOODSIDE SURGERY,TPP,TPP
16C,A81054,THE SALTSCAR SURGERY,TPP,TPP
16C,A81056,MELROSE SURGERY,TPP,TPP
16C,A81057,KINGSWAY MEDICAL CENTRE,TPP,TPP
16C,A81058,COULBY MEDICAL PRACTICE,EMIS,EMIS
16C,A81060,WEST QUAY MEDICAL PRACTICE,TPP,TPP
16C,A81063,THE HEADLAND MEDICAL CENTRE,TPP,TPP
16C,A81064,THE DISCOVERY PRACTICE,TPP,TPP
16C,A81066,PARK LANE SURGERY,TPP,TPP
16C,A81067,ALMA MEDICAL CENTRE,TPP,TPP
16C,A81070,MCKENZIE GROUP PRACTICE,TPP,TPP
16C,A81602,DR RASOOL,TPP,TPP
16C,A81608,ELM TREE SURGERY,TPP,TPP
16C,A81610,THE ROSEBERRY PRACTICE,TPP,TPP
16C,A81611,PARKWAY MEDICAL CENTRE,EMIS,EMIS
16C,A81612,THE PATEL PRACTICE,TPP,TPP
16C,A81618,HUNTCLIFF SURGERY,EMIS,EMIS
16C,A81621,THORNTREE SURGERY,TPP,TPP
16C,A81622,GLADSTONE HOUSE SURGERY,TPP,TPP
16C,A81629,RIVERSIDE MEDICAL PRACTICE,TPP,TPP
16C,A81631,WEST VIEW MILLENIUM SURGERY A,TPP,TPP
01K,A82003,ULVERSTON MEDICAL PRACTICE,EMIS,EMIS
01H,A82004,ALSTON MEDICAL PRACTICE,EMIS,EMIS
01K,A82005,AMBLESIDE HEALTH CENTRE,EMIS,EMIS
01H,A82006,APPLEBY MEDICAL PRACTICE,EMIS,EMIS
01K,A82007,DUKE STREET SURGERY,EMIS,EMIS
01K,A82008,NORWOOD MEDICAL CENTRE,EMIS,EMIS
01K,A82009,BRIDGEGATE MEDICAL CENTRE,EMIS,EMIS
01K,A82010,ABBEY ROAD SURGERY,EMIS,EMIS
01H,A82012,BRAMPTON MEDICAL PRACTICE,EMIS,EMIS
01H,A82013,UPPER EDEN MEDICAL PRACTICE,EMIS,EMIS
01H,A82014,CALDBECK SURGERY,EMIS,EMIS
01H,A82015,CARLISLE CENTRAL PRACTICE,EMIS,EMIS
01H,A82016,CARLISLE HEALTHCARE,EMIS,EMIS
01H,A82018,SPENCER ST SURGERY,EMIS,EMIS
01H,A82020,EDEN MEDICAL GROUP,EMIS,EMIS
01H,A82021,CASTLEGATE AND DERWENT SURGERY,EMIS,EMIS
01H,A82022,DALSTON MEDICAL GROUP,EMIS,EMIS
01H,A82023,DISTINGTON SURGERY,EMIS,EMIS
01H,A82024,SEASCALE HEALTH CENTRE,EMIS,EMIS
01K,A82025,CAPTAIN FRENCH SURGERY,EMIS,EMIS
01K,A82026,THE JAMES COCHRANE PRACT.,EMIS,EMIS
01K,A82027,STATION HOUSE SURGERY,EMIS,EMIS
01H,A82028,CASTLEHEAD MEDICAL CENTRE,EMIS,EMIS
01H,A82029,THE CROFT SURGERY,EMIS,EMIS
01K,A82030,LUNESDALE SURGERY,EMIS,EMIS
01H,A82031,SHAP MEDICAL PRACTICE,EMIS,EMIS
01H,A82032,MARYPORT HEALTH SERVICES,EMIS,EMIS
01K,A82033,WATERLOO HOUSE SURGERY,EMIS,EMIS
01H,A82035,BIRBECK MEDICAL GROUP,EMIS,EMIS
01H,A82036,THE LAKES MEDICAL PRACTICE,EMIS,EMIS
01H,A82037,SILLOTH GROUP MEDICAL PRACTICE,EMIS,EMIS
01H,A82038,TEMPLE SOWERBY MEDICAL PRACTICE,EMIS,EMIS
01K,A82039,DALTON SURGERY,EMIS,EMIS
01H,A82041,LOWTHER MEDICAL CENTRE,EMIS,EMIS
01H,A82044,FELLVIEW HEALTHCARE,EMIS,EMIS
01H,A82045,WIGTON GROUP MEDICAL PRACTICE,EMIS,EMIS
01K,A82046,WINDERMERE HEALTH CENTRE,EMIS,EMIS
01H,A82047,JAMES STREET GROUP PRACT,EMIS,EMIS
01K,A82053,NUTWOOD MEDICAL PRACTICE,EMIS/EVERGREENLIFE,EMIS
01H,A82055,ASPATRIA MEDICAL GROUP,EMIS,EMIS
01K,A82062,ATKINSON HEALTH CENTRE,EMIS,EMIS
01H,A82064,WESTCROFT HOUSE SURGERY,EMIS,EMIS
01K,A82068,ULVERSTON COMMUNITY HEALTH CENTRE,EMIS,EMIS
01K,A82070,ST. MARY'S SURGERY,EMIS,EMIS
01K,A82071,BURNETT EDGAR MEDICAL CTR,EMIS,EMIS
01K,A82072,RISEDALE SURGERY,EMIS,EMIS
01H,A82075,MANSION HOUSE SURGERY,EMIS,EMIS
01K,A82608,SEDBERGH MEDICAL PRACTICE,EMIS,EMIS
01K,A82613,WRAYSDALE HOUSE SURGERY,EMIS,EMIS
01H,A82617,KIRKOSWALD SURGERY,EMIS,EMIS
01H,A82620,GLENRIDDING HEALTH CENTRE,EMIS,EMIS
01K,A82629,THE FAMILY PRACTICE,EMIS,EMIS
01H,A82631,COURT THORN SURGERY,EMIS,EMIS
01H,A82646,LONGTOWN MEDICAL CENTRE,EMIS,EMIS
01K,A82647,CARTMEL SURGERY,EMIS,EMIS
01K,A82650,HAVERTHWAITE SURGERY,EMIS,EMIS
01K,A82651,DUDDON VALLEY MEDICAL PRACTICE,EMIS,EMIS
01H,A82654,WARWICK SQUARE GROUP PRACTICE,EMIS,EMIS
84H,A83001,ST ANDREW'S MEDICAL PRACTICE,TPP,TPP
84H,A83003,WILLINGTON MEDICAL GROUP,TPP,TPP
16C,A83005,WHINFIELD MEDICAL PRACTICE,TPP,TPP
16C,A83006,ORCHARD COURT SURGERY,TPP,TPP
84H,A83007,BLACKHALL AND PETERLEE PRACTICE,TPP,TPP
84H,A83008,HALLGARTH SURGERY,TPP,TPP
84H,A83009,BRIDGE END SURGERY,EMIS,EMIS
16C,A83010,MOORLANDS SURGERY,TPP,TPP
84H,A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,TPP,TPP
84H,A83012,WILLIAM BROWN CENTRE,TPP,TPP
16C,A83013,NEASHAM ROAD SURGERY,TPP,TPP
84H,A83014,BELMONT & SHERBURN MEDICAL GROUP,TPP,TPP
84H,A83015,STATION VIEW MEDICAL CENTRE,TPP,TPP
84H,A83016,TANFIELD VIEW MEDICAL GROUP,TPP,TPP
84H,A83018,CONSETT MEDICAL CENTRE,TPP,TPP
84H,A83020,NORTH HOUSE SURGERY,TPP,TPP
84H,A83021,AUCKLAND MEDICAL GROUP,TPP,TPP
84H,A83022,THE MEDICAL GROUP,TPP,TPP
84H,A83023,STANLEY MEDICAL GROUP,TPP,TPP
84H,A83024,WEST RAINTON SURGERY,TPP,TPP
84H,A83025,BISHOPGATE MEDICAL CENTRE,TPP,TPP
84H,A83026,SACRISTON MEDICAL CENTRE,EMIS,EMIS
84H,A83027,COXHOE MEDICAL PRACTICE,TPP,TPP
84H,A83028,MIDDLE CHARE MEDICAL GROUP,EMIS,EMIS
84H,A83029,GREAT LUMLEY SURGERY,EMIS,EMIS
84H,A83030,DUNELM MEDICAL PRACTICE,TPP,TPP
16C,A83031,CARMEL MEDICAL PRACTICE,TPP,TPP
84H,A83032,WOODVIEW MEDICAL PRACTICE,TPP,TPP
84H,A83033,PELTON & FELLROSE MEDICAL GROUP,TPP,TPP
16C,A83034,BLACKETTS MEDICAL PRACTICE,TPP,TPP
84H,A83035,THE WEARDALE PRACTICE,TPP,TPP
84H,A83036,CHASTLETON MEDICAL GROUP,TPP,TPP
84H,A83037,BEWICK CRESCENT SURGERY,TPP,TPP
84H,A83038,CEDARS MEDICAL GROUP,TPP,TPP
16C,A83040,CLIFTON COURT MEDICAL PRACTICE,TPP,TPP
84H,A83041,MURTON MEDICAL CENTRE,TPP,TPP
84H,A83043,OLD FORGE SURGERY,TPP,TPP
84H,A83044,THE HORDEN GROUP PRACTICE,TPP,TPP
84H,A83045,FERRYHILL AND CHILTON MEDICAL PRACTICE,TPP,TPP
84H,A83046,BARNARD CASTLE SURGERY,TPP,TPP
16C,A83047,DENMARK STREET SURGERY,TPP,TPP
16C,A83048,ROCKLIFFE COURT SURGERY,TPP,TPP
84H,A83049,QUEENS ROAD SURGERY,TPP,TPP
84H,A83050,CESTRIA HEALTH CENTRE,TPP,TPP
84H,A83051,MARLBOROUGH SURGERY,TPP,TPP
84H,A83052,BISHOPS CLOSE MEDICAL PRACTICE,TPP,TPP
84H,A83054,SKERNE MEDICAL GROUP,TPP,TPP
84H,A83055,CHEVELEY PARK MEDICAL CTR,TPP,TPP
84H,A83057,EAST DURHAM MEDICAL GROUP,TPP,TPP
84H,A83060,PINFOLD MEDICAL PRACTICE,TPP,TPP
84H,A83061,GAINFORD SURGERY,TPP,TPP
84H,A83066,JUBILEE MEDICAL GROUP,TPP,TPP
16C,A83070,MIDDLETON AND DINSDALE MEDICAL PRACTICE,TPP,TPP
84H,A83071,THE NEW SEAHAM MEDICAL GROUP,TPP,TPP
